affectedModels,analysisDate,anger Method,cveId,description,paperDate,paperTitle,paperUrl,slug,tags,title
GPT-4o Mini,2025-03-04T19:23:57.035Z,,8caed39b,"A vulnerability exists in large language models (LLMs) where insufficient sanitization of system prompts allows attackers to extract sensitive information embedded within those prompts.  Attackers can use an agentic approach, employing multiple interacting LLMs (as demonstrated in the referenced research), to iteratively refine prompts and elicit confidential data from the target LLM's responses.  The vulnerability is exacerbated by the LLM's ability to infer context from seemingly innocuous prompts.",2025-02-01,Automating Prompt Leakage Attacks on Large Language Models Using Agentic Approach,https://arxiv.org/abs/2502.12630,agentic-prompt-leakage-attacks,prompt-leaking; extraction; agent; blackbox; data-security,Agentic Prompt Leakage Attacks
GPT-3.5 Turbo; GPT-4o Mini; Llama 2 13B Chat; Llama 2 70B Chat; Llama 2 7B Chat; Vicuna 13B,2025-03-04T19:30:04.189Z,,e91a1bb6,"**Description**: A vulnerability in large language models (LLMs) allows attackers to bypass safety-alignment mechanisms by manipulating the model's internal attention weights.  The attack, termed ""Attention Eclipse,"" modifies the attention scores between specific tokens within a prompt, either amplifying or suppressing attention to selectively strengthen or weaken the influence of certain parts of the prompt on the model's output. This allows injection of malicious content while appearing benign to the model's safety filters.",2025-02-01,Attention Eclipse: Manipulating Attention to Bypass LLM Safety-Alignment,https://arxiv.org/abs/2502.15334,attention-based-jailbreak,model-layer; jailbreak; whitebox; injection; safety; integrity,Attention-Based Jailbreak
Falcon 7B Instruct; Llama 2 7B Chat; Llama 3 8B Instruct; Mistral 7B Instruct v0.2; Mistral 7B Instruct v0.3; Phi 4; Qwen 2.5 Coder 7B Instruct; Vicuna 7B v1.3,2025-03-19T19:33:00.271Z,,1f0fcf78,"CRI (Compliance Refusal Initialization) initializes jailbreak attacks by leveraging pre-trained jailbreak prompts, effectively guiding the optimization process towards the compliance subspace of harmful prompts. This significantly enhances the success rate and reduces the computational overhead of attacks, often requiring only a single optimization step to bypass safety mechanisms. Attacks utilizing CRI demonstrate significantly improved ASR (Adversarial Success Rate) and reduced median steps to success.",2025-02-01,Enhancing Jailbreak Attacks via Compliance-Refusal-Based Initialization,https://arxiv.org/abs/2502.09755,cri-jailbreak-initialization,prompt-layer; jailbreak; blackbox; whitebox; integrity; safety,CRI Jailbreak Initialization
Llama 2 7B Chat; Llama 3 8B Instruct; Mistral 7B Instruct v0.2; Vicuna 13B v1.5; Vicuna 7B v1.5,2025-02-16T19:36:00.171Z,,86ef6114,"Large Language Models (LLMs) employing safety alignment strategies are vulnerable to jailbreak attacks.  These attacks manipulate the LLM's internal representation by activating ""jailbreak concepts"" in addition to ""toxic concepts,"" causing the model to bypass safety guardrails and generate unsafe outputs despite recognizing the harmful nature of the input.  The vulnerability stems from the insufficient mitigation of the influence of the activated jailbreak concepts on model output.",2025-02-01,JBShield: Defending Large Language Models from Jailbreak Attacks through Activated Concept Analysis and Manipulation,https://arxiv.org/abs/2502.07557,concept-based-jailbreak-defense,model-layer; jailbreak; whitebox; safety; integrity,Concept-Based Jailbreak Defense
Guanaco 13B; Llama 2 7B Chat; Llama 3 8B Instruct; Mistral 7B Instruct v0.2; Mistral 7B Instruct v0.3; Vicuna 13B v1.5; Vicuna 7B v1.5,2025-03-04T19:28:15.412Z,,328c7568,"A context-coherent jailbreak attack (CCJA) allows bypassing safety mechanisms in aligned large language models (LLMs) by optimizing perturbations in the continuous word embedding space of a masked language model (MLM). The attack leverages the MLM's ability to reconstruct text from hidden states to generate semantically coherent yet malicious prompts that induce the target LLM to produce unsafe outputs, even with strong safety alignment. The attack's effectiveness is enhanced by using a seed prompt to generate an instruction-following prefix, which guides the LLM towards affirmative responses to harmful queries.",2025-02-01,CCJA: Context-Coherent Jailbreak Attack for Aligned Large Language Models,https://arxiv.org/abs/2502.11379,context-coherent-llm-jailbreak,model-layer; jailbreak; whitebox; injection; safety; integrity,Context-Coherent LLM Jailbreak
Claude 2.1; GPT-3.5 Turbo; GPT-4; GPT-4 Turbo; Llama 2 13B Chat; Llama 2 7B Chat; Mistral 7B; Qwen 14B Chat; Qwen 7B Chat; Vicuna 13B; Vicuna 7B,2025-03-04T19:32:03.913Z,,d56e75cc,"The Knowledge-Distilled Attacker (KDA) model, when used to generate prompts for large language models (LLMs), can bypass LLM safety mechanisms resulting in the generation of harmful, inappropriate, or misaligned content.  KDA's effectiveness stems from its ability to generate diverse and coherent attack prompts efficiently, surpassing existing methods in attack success rate and speed.  The vulnerability lies in the LLMs' insufficient defenses against the diverse prompt generation strategies learned and employed by KDA.",2025-02-01,KDA: A Knowledge-Distilled Attacker for Generating Diverse Prompts to Jailbreak LLMs,https://arxiv.org/abs/2502.05223,distilled-jailbreak-prompt-generator,prompt-layer; jailbreak; blackbox; safety; reliability,Distilled Jailbreak Prompt Generator
Claude 3.5 Sonnet; Gemini 1.5 Pro; GPT-4o; GPT-4o Mini; InternVL 2.5; LLaVA NeXT; Mistral 7B; Qwen 2 VL,2025-03-19T19:31:41.401Z,,cd01fb40,"FC-Attack leverages automatically generated flowcharts containing step-by-step descriptions derived or rephrased from harmful queries, combined with a benign textual prompt, to jailbreak Large Vision-Language Models (LVLMs). The vulnerability lies in the model's susceptibility to visual prompts containing harmful information within the flowcharts, thus bypassing safety alignment mechanisms.",2025-02-01,FC-Attack: Jailbreaking Large Vision-Language Models via Auto-Generated Flowcharts,https://arxiv.org/abs/2502.21059,flowchart-based-lvlm-jailbreak-attack,model-layer; application-layer; prompt-layer; vision; multimodal; fine-tuning; blackbox; agent; chain; api; injection; jailbreak; data-security; safety; reliability,Flowchart-based LVLM Jailbreak Attack
Llama 2 7B; Llama 3 8B; Mistral 7B; Gemma 7B,2026-01-14T07:17:00.488Z,,bb6d13e6,"Autoregressive Large Language Models (LLMs) utilizing In-Context Learning (ICL) are vulnerable to demonstration permutation attacks due to inherent sensitivity to the ordering of input examples. This vulnerability arises from the limitations of unidirectional attention mechanisms and standard Empirical Risk Minimization (ERM) training, which fails to account for worst-case input permutations. An attacker can exploit this by permuting the order of valid, semantically correct few-shot demonstrations (contextual examples) to match a ""worst-case"" distribution. This adversarial reordering maximizes the model's loss function, leading to significant performance degradation, incorrect outputs, and instability, without requiring the injection of malicious or invalid content.",2025-02-01,PEARL: Towards permutation-resilient LLMs,https://arxiv.org/abs/2502.14628,icl-permutation-exploit,model-layer; prompt-layer; fine-tuning; blackbox; integrity; reliability,ICL Permutation Exploit
GPT-4; GPT-4o,2025-12-09T01:43:15.577Z,,81ec4c39,"A policy compliance vulnerability exists in the OpenAI GPT Store ecosystem affecting Custom GPTs. The vulnerability stems from the inheritance of safety alignment weaknesses from foundational models (GPT-4 and GPT-4o) and the insufficient enforcement of usage policies during the customization and review process. Custom GPTs can be trivially manipulated to violate safety guidelinesâspecifically regarding Cybersecurity (malware generation), Academic Integrity (ghostwriting), and Romantic Companionship (intimate roleplay)âthrough direct prompting or minor context shifting. The automated and manual review processes for the GPT Store fail to detect these violations prior to publication, allowing the deployment of chatbots that actively facilitate prohibited activities.",2025-02-01,Towards Safer Chatbots: A Framework for Policy Compliance Evaluation of Custom GPTs,https://arxiv.org/abs/2502.01436,inherited-gpt-policy-violations,model-layer; application-layer; prompt-layer; jailbreak; blackbox; agent; safety; data-privacy,Inherited GPT Policy Violations
GPT-3.5; GPT-4; Claude 3.5; o1; Llama 2 7B; Llama 3.1 8B; Gemini 1.5; Mistral 7B; Vicuna 13B,2025-12-09T04:00:35.984Z,,c9c56e67,"A vulnerability exists in the safety alignment mechanisms of Large Language Models (LLMs) related to the model's intent perception capabilities. The specific attack vector, termed ""Perceived-importance Flatten"" (PiF), circumvents safety guardrails by modifying neutral-intent tokens within a malicious prompt using synonym replacement. Unlike traditional jailbreak attacks that rely on appending lengthy, high-perplexity adversarial suffixes (which suffer from distributional dependency and often fail to transfer to black-box models), PiF uniformly disperses the target model's attention across the input. This ""flattening"" effect prevents the LLM from focusing on malicious-intent tokens (e.g., ""bomb,"" ""exploit""), causing the model to misclassify the prompt's intent and generate harmful content. This vulnerability exhibits high transferability across proprietary models, including GPT-4, Claude-3.5, and Llama-3 families, effectively bypassing standard defenses such as perplexity filters and SmoothLLM.",2025-02-01,Understanding and enhancing the transferability of jailbreaking attacks,https://arxiv.org/abs/2502.03052,intent-flattening-jailbreak,prompt-layer; jailbreak; blackbox; safety,Intent Flattening Jailbreak
Claude 3.5 Sonnet; Gemini 2.0 Flash Thinking; o1-mini,2025-03-04T19:36:04.738Z,,8a975d09,"Large Reasoning Models (LRMs) are vulnerable to a novel jailbreak attack, ""Mousetrap,"" which leverages the models' reasoning capabilities to elicit harmful responses.  Mousetrap uses a ""Chaos Machine"" to iteratively transform prompts via one-to-one mappings (e.g., character substitutions, word reversals), creating complex reasoning chains that confuse the LRM and cause it to generate unsafe outputs despite safety mechanisms.  The iterative nature of the attack, combined with role-playing prompts, increases the likelihood of bypassing safety filters.",2025-02-01,A Mousetrap: Fooling Large Reasoning Models for Jailbreak with Chain of Iterative Chaos,https://arxiv.org/abs/2502.15806,iterative-chaos-jailbreak,jailbreak; application-layer; blackbox; safety; integrity,Iterative Chaos Jailbreak
Baichuan 2; Baichuan 2 7B Chat; DeepSeek R1; GLM 4; GLM 4 9B Chat; Llama 3.1; Llama 3.1 8B Instruct; Mistral; Mistral 8B Instruct; Qwen 2.5; Qwen 2.5 7B Instruct,2025-03-19T19:31:41.406Z,,cd6f0a9b,"A vulnerability exists in Large Language Models (LLMs) that allows for efficient jailbreaking by selectively fine-tuning only the lower layers of the model with a toxic dataset. This ""Freeze Training"" method, as described in the research paper, concentrates the fine-tuning on layers identified as being highly sensitive to the generation of harmful content. This approach significantly reduces training duration and GPU memory consumption while maintaining a high jailbreak success rate.",2025-02-01,Efficient Jailbreaking of Large Models by Freeze Training: Lower Layers Exhibit Greater Sensitivity to Harmful Content,https://arxiv.org/abs/2502.20952,llm-lower-layer-freeze-jailbreak,model-layer; jailbreak; fine-tuning; blackbox; whitebox; integrity; safety; reliability,LLM Lower Layer Freeze Jailbreak
o1; o3; DeepSeek-R1,2025-12-09T03:40:20.986Z,,1e02b3fd,"A resource exhaustion and algorithmic complexity vulnerability exists in applications utilizing Reasoning Large Language Models (e.g., OpenAI o1, DeepSeek R1) that process untrusted external context (such as Retrieval-Augmented Generation systems). The vulnerability, dubbed ""OverThink,"" allows an attacker to perform an indirect prompt injection by embedding ""decoy"" reasoning problemsâspecifically computation-intensive tasks like Sudoku puzzles or Markov Decision Processes (MDPs)âinto the retrieved context. When the reasoning model processes this context, it identifies the decoy task and generates an excessive number of chain-of-thought (reasoning) tokens to solve it, even if the task is irrelevant to the user's query. This occurs because reasoning models are optimized to solve problems found in the context to generate high-confidence answers. The attack does not alter the final visible answer, making it stealthy, but significantly inflates the inference latency and token cost.",2025-02-01,Overthink: Slowdown attacks on reasoning llms,https://arxiv.org/abs/2502.02542,llm-rag-decoy-overthink,application-layer; prompt-layer; injection; denial-of-service; rag; blackbox; reliability,LLM RAG Decoy Overthink
Claude 3.5 Haiku; Claude 3.5 Sonnet; Gemini 1.5 Pro; GPT-4o; Llama 3.1 405B,2025-03-04T19:26:12.347Z,,99e044a3,"Large Language Models (LLMs) with refusal training are vulnerable to a ""jailbreaking-to-jailbreak"" (J2) attack.  A J2 attack involves initially jailbreaking a powerful LLM to create a ""J2 attacker."" This attacker, instructed with general jailbreaking strategies, then autonomously attempts to jailbreak other LLMs, including potentially the same model it was derived from,  by iteratively refining its attack based on previous attempts and in-context learning.",2025-02-01,Jailbreaking to Jailbreak,https://arxiv.org/abs/2502.09638,llm-self-jailbreaking-attack,prompt-layer; jailbreak; blackbox; safety; integrity,LLM Self-Jailbreaking Attack
BERT; Claude 3.5 Sonnet; GPT-4o; Llama 3 8B; Llama 3.2 3B; Llama 3.2 90B; Mistral 7B; o1,2025-03-04T19:21:46.340Z,,fdd9fdd0,"Large Language Models (LLMs) are vulnerable to structure transformation attacks, where malicious prompts are encoded in diverse syntax spaces (e.g., SQL, JSON, LLM-generated syntaxes) to bypass safety mechanisms.  These attacks maintain the harmful intent while altering the linguistic structure, making detection based on token-level patterns ineffective.",2025-02-01,StructTransform: A Scalable Attack Surface for Safety-Aligned Large Language Models,https://arxiv.org/abs/2502.11853,llm-syntax-jailbreak,prompt-layer; jailbreak; injection; model-layer; blackbox; safety; integrity,LLM Syntax Jailbreak
Llama 3.2 1B; Llama 4 7B; Gemini 2,2025-12-30T20:14:31.631Z,,fb687b8c,"Large Language Model (LLM) watermarking schemes based on n-gram probability biases (specifically KGW, SynthID-Text, MinHash, and SkipHash) are vulnerable to adversarial removal during Knowledge Distillation. When a student model is trained on the output of a watermarked teacher model, it inherits the watermark's statistical biases (""radioactivity""). An attacker can exploit this inheritance by comparing the student model's output token probabilities against a base model to extract the watermarking rules ($p$-rules) without access to the teacher's logits or private keys. By applying an inverse bias (Watermark Neutralization) to the student model's logits during inference, the attacker can effectively scrub the watermark while preserving the distilled knowledge, rendering the copyright protection mechanism ineffective.",2025-02-01,Can LLM Watermarks Robustly Prevent Unauthorized Knowledge Distillation?,https://arxiv.org/abs/2502.11598,llm-watermark-neutralization,model-layer; extraction; fine-tuning; blackbox; data-security; integrity,LLM Watermark Neutralization
Gemini Pro; GPT-3.5 Turbo; Llama 2 7B Chat; Llama 3 8B,2025-03-04T19:27:21.622Z,,53c2f816,"Large Language Models (LLMs) are vulnerable to ""Rewrite to Jailbreak"" (R2J) attacks.  R2J exploits the models' safety mechanisms by iteratively rewriting harmful prompts, subtly altering wording to bypass safety filters while maintaining the original malicious intent.  This differs from previous methods which rely on adding extraneous prefixes/suffixes or creating forced instruction-following scenarios, thus being more difficult to detect.",2025-02-01,Rewrite to Jailbreak: Discover Learnable and Transferable Implicit Harmfulness Instruction,https://arxiv.org/abs/2502.11084,learned-instruction-rewriting-jailbreak,prompt-layer; jailbreak; blackbox; integrity; safety,Learned Instruction Rewriting Jailbreak
Llama 3 8B; Llama 3.1 405B Instruct; Llama 3.1 8B Instruct; Llama 3.2 3B Instruct; Ministral 8B Instruct,2025-04-12T00:36:20.569Z,,da5b2363,"Large Language Models (LLMs) trained with safety fine-tuning techniques are vulnerable to multi-dimensional evasion attacks.  Safety-aligned behavior, such as refusing harmful queries, is controlled not by a single direction in activation space, but by a subspace of interacting directions.  Manipulating non-dominant directions, which represent distinct jailbreak patterns or indirect features, can suppress the dominant direction responsible for refusal, thereby bypassing learned safety capabilities. This vulnerability is demonstrated on Llama 3 8B through removal of trigger tokens and suppression of non-dominant components in the safety residual space.",2025-02-01,The Hidden Dimensions of LLM Alignment: A Multi-Dimensional Safety Analysis,https://arxiv.org/abs/2502.09674,multi-dimensional-safety-bypass,model-layer; jailbreak; fine-tuning; whitebox; integrity; safety,Multi-Dimensional Safety Bypass
GPT-4o; GPT-4o Mini; Llama 3 8B Instruct; Llama 3.1 8B Instruct; Mistral 7B Instruct v0.2; Qwen 1.5 7B Chat; Qwen 2 7B Instruct,2025-03-04T19:33:43.021Z,,b0f3784c,"A multi-turn prompt injection attack, termed ""Foot-In-The-Door"" (FITD), exploits the psychological principle of incremental commitment to progressively escalate malicious requests, bypassing LLM safety mechanisms.  The attack leverages intermediate ""bridge"" prompts and self-alignment techniques to coax the model into generating increasingly harmful outputs, even when initially refusing similar direct requests.",2025-02-01,Foot-In-The-Door: A Multi-turn Jailbreak for LLMs,https://arxiv.org/abs/2502.19820,multi-turn-foot-in-the-door-jailbreak,prompt-layer; jailbreak; blackbox; safety; integrity,Multi-Turn Foot-In-The-Door Jailbreak
Gemini 1.5 Flash; GPT-4o; GPT-4o Mini; GPT-4V,2025-03-04T19:32:36.863Z,,58998651,"Multimodal Large Language Models (MLLMs) are vulnerable to a jailbreaking attack leveraging a ""Distraction Hypothesis"".  The attack, termed Contrasting Subimage Distraction Jailbreaking (CS-DJ), bypasses safety mechanisms by using multiple contrasting subimages and a decomposed harmful prompt to overwhelm the model's attention and reduce its ability to identify malicious content.  The complexity of the visual input, rather than its specific content, is the key to successful exploitation.",2025-02-01,Distraction is All You Need for Multimodal Large Language Model Jailbreaking,https://arxiv.org/abs/2502.10794,multimodal-distraction-jailbreak,model-layer; jailbreak; multimodal; blackbox; safety,Multimodal Distraction Jailbreak
Gemini,2025-03-04T19:26:43.652Z,,994d2081,"A novel ""Flanking Attack"" exploits the vulnerability of multimodal LLMs (e.g., Google Gemini) to bypass content moderation filters by embedding adversarial prompts within a sequence of benign prompts.  The attack leverages the LLM's processing of both audio and text, obfuscating harmful requests through contextualization and layering, thereby yielding policy-violating responses.",2025-02-01,From Compliance to Exploitation: Jailbreak Prompt Attacks on Multimodal LLMs,https://arxiv.org/abs/2502.00735,multimodal-flanking-jailbreak,prompt-layer; jailbreak; multimodal; blackbox; safety; integrity,Multimodal Flanking Jailbreak
Gemma 2 2B; Gemma 2 2B IT; Llama 13B; Llama 2 13B; Llama 3.1 8B Instruct,2025-03-04T19:23:29.443Z,,746bf136,"Large Language Models (LLMs) are vulnerable to one-shot steering vector optimization attacks.  By applying gradient descent to a single training example, an attacker can generate steering vectors that induce or suppress specific behaviors across multiple inputs, even those unseen during the optimization process.  This allows malicious actors to manipulate the model's output in a generalized way, bypassing safety mechanisms designed to prevent harmful responses.",2025-02-01,Investigating Generalization of One-shot LLM Steering Vectors,https://arxiv.org/abs/2502.18862,one-shot-llm-steering-attack,model-layer; jailbreak; extraction; whitebox; integrity; safety,One-Shot LLM Steering Attack
DeepSeek R1 Distill Qwen 14B; DeepSeek R1 Distill Qwen 7B; Llama 2 13B; Llama 2 13B Chat; Llama 2 7B Chat; Mistral 7B Instruct; Qwen 14B Chat; Qwen 7B Chat,2025-03-04T19:49:45.362Z,,abc865e7,"Large Language Models (LLMs) with structured output interfaces are vulnerable to jailbreak attacks that exploit the interaction between token-level inference and sentence-level safety alignment.  Attackers can manipulate the model's output by constructing attack patterns based on prefixes of safety refusal responses and desired harmful outputs, effectively bypassing safety mechanisms through iterative API calls and constrained decoding.  This allows the generation of harmful content despite safety measures.",2025-02-01,Exploiting Prefix-Tree in Structured Output Interfaces for Enhancing Jailbreak Attacking,https://arxiv.org/abs/2502.13527,prefix-tree-jailbreak,prompt-layer; jailbreak; blackbox; api; safety,Prefix-Tree Jailbreak
DeepSeek Chat; Gemini 1.5 Flash; Gemini 1.5 Pro; GPT-3.5 Turbo; GPT-4 Turbo; GPT-4o; Llama 3.1 70B Instruct; Llama 3.1 8B Instruct; Llama 3.2 11B Vision; Llama 3.2 1B Instruct; Llama 3.2 3B Instruct; Llama 3.3 70B Instruct; o1,2025-03-04T19:34:47.247Z,,cfb0cb21,"Large Language Models (LLMs) are vulnerable to QueryAttack, a novel jailbreak technique that leverages structured, non-natural query languages (e.g., SQL, URL formats, or other programming language constructs) to bypass safety alignment mechanisms.  The attack translates malicious natural language queries into these structured formats, exploiting the LLM's ability to understand and process such languages without triggering safety filters designed for natural language prompts.  The LLM then responds in natural language, providing the requested (malicious) information.",2025-02-01,Making Them a Malicious Database: Exploiting Query Code to Jailbreak Aligned Large Language Models,https://arxiv.org/abs/2502.09723,query-code-jailbreak,model-layer; jailbreak; blackbox; application-layer; integrity; safety,Query Code Jailbreak
Llama 2 7B; Llama 3 8B; Gemma 2B; Vicuna 7B,2025-12-09T03:15:05.883Z,,58c7bbdb,"Large Language Models (LLMs), specifically Llama 2, Llama 3, Gemma, and Vicuna, are vulnerable to an adaptive, distributional adversarial attack methodology termed ""REINFORCE."" Existing gradient-based jailbreak attacks (such as Greedy Coordinate Gradient - GCG) typically optimize adversarial suffixes to maximize the likelihood of a fixed affirmative response (e.g., ""Sure, here is how""). The REINFORCE method circumvents this by treating the LLM as a probabilistic policy and using Reinforcement Learning to optimize the prompt for a semantic objectiveâspecifically, the harmfulness of the generated response distribution as scored by an external LLM judge. This allows the attack to bypass safety alignment and ""Circuit Breaker"" defenses by steering the model toward arbitrary harmful behaviors rather than specific token sequences.",2025-02-01,"Reinforce adversarial attacks on large language models: An adaptive, distributional, and semantic objective",https://arxiv.org/abs/2502.17254,reinforce-adaptive-jailbreak,prompt-layer; jailbreak; whitebox; safety,REINFORCE Adaptive Jailbreak
DeepSeek R1; Gemini 1.5 Pro; Gemini 2.0 Flash Thinking; Gemma 2 9B; GLM 4 9B Chat; GPT-4; GPT-4o; o1; Qwen 2 7B Instruct,2025-03-04T19:38:31.424Z,,4711febd,"Large Language Models (LLMs) are vulnerable to multi-turn jailbreak attacks leveraging the model's reasoning capabilities.  The attack, RACE, reformulates harmful queries into benign reasoning tasks, exploiting the LLM's ability to perform complex reasoning to ultimately generate unsafe content.  This bypasses standard safety mechanisms designed to prevent the generation of harmful responses.",2025-02-01,Reasoning-Augmented Conversation for Multi-Turn Jailbreak Attacks on Large Language Models,https://arxiv.org/abs/2502.11054,reasoning-augmented-jailbreak,prompt-layer; jailbreak; blackbox; safety; integrity,Reasoning-Augmented Jailbreak
GPT-4o; Llama 3.1 8B Instruct; Llama 3.3 70B Instruct; Qwen 2 72B Instruct,2025-03-04T19:35:28.635Z,,eeafc4fb,"Large Language Models (LLMs) are vulnerable to a novel jailbreak attack, ""Speak Easy,"" which leverages common multi-step and multilingual interaction patterns to elicit harmful and actionable responses.  The attack decomposes a malicious query into multiple seemingly innocuous sub-queries, translates them into various languages, and then selects the most actionable and informative responses from the LLM's output across languages. This bypasses existing safety mechanisms more effectively than single-step, monolingual attacks.",2025-02-01,Speak Easy: Eliciting Harmful Jailbreaks from LLMs with Simple Interactions,https://arxiv.org/abs/2502.04322,simple-interaction-jailbreaks,prompt-layer; jailbreak; blackbox; safety; integrity,Simple Interaction Jailbreaks
Llama 3.2 11B; Qwen 2 2B; LLaVA 7B; Phi-3,2025-12-09T02:27:47.266Z,,bf6e354f,"Multimodal Large Language Models (MLLMs) are vulnerable to a universal adversarial attack where a single, optimized image can bypass safety alignment mechanisms across diverse textual queries. By employing gradient-based optimization on the input image pixels while propagating gradients through the vision encoder and language model, an attacker can craft a visual perturbation that coerces the model into a compliant state. When this adversarial image is present in the context, the modelâs refusal mechanism is overridden, forcing it to generate a target affirmative phrase (e.g., ""Sure, here it is"") followed by the fulfillment of the user's prompt, regardless of whether the prompt is harmful, illegal, or otherwise prohibited. This attack exhibits cross-model transferability, allowing an image optimized on one set of architectures to successfully compromise unseen models.",2025-02-01,Universal Adversarial Attack on Aligned Multimodal LLMs,https://arxiv.org/abs/2502.07987,single-image-universal-jailbreak,model-layer; prompt-layer; injection; jailbreak; vision; multimodal; embedding; whitebox; safety; integrity,Single Image Universal Jailbreak
GPT-4o; Llama 3.1 8B; Qwen 2.5 7B; o4-mini,2025-12-30T21:10:28.609Z,,52286265,$4a,2025-02-01,Topic-fliprag: Topic-orientated adversarial opinion manipulation attacks to retrieval-augmented generation models,https://arxiv.org/abs/2502.01386,topic-flip-rag-poisoning,model-layer; poisoning; rag; embedding; blackbox; integrity; safety,Topic-Flip RAG Poisoning
Gemini; GPT-3.5 Turbo; GPT-4; GPT-4 Turbo; GPT-4o; Llama 2 13B; Mistral Large 2; R2D2; Zephyr 7B,2025-03-04T19:37:14.574Z,,c905220b,"Large Language Models (LLMs) are vulnerable to jailbreaking attacks leveraging mutation-based fuzzing techniques.  The TurboFuzzLLM framework efficiently generates adversarial prompts, combining mutated templates with harmful questions to elicit unauthorized or malicious responses. This vulnerability allows bypassing built-in safeguards and obtaining harmful outputs through black-box API access.  The effectiveness stems from advanced mutation strategies (including refusal suppression, prefix injection, and LLM-based mutations) and efficient search algorithms that significantly improve the attack success rate compared to previous techniques.",2025-02-01,TurboFuzzLLM: Turbocharging Mutation-based Fuzzing for Effectively Jailbreaking Large Language Models in Practice,https://arxiv.org/abs/2502.18504,turbofuzzllm-jailbreak-templates,prompt-layer; jailbreak; blackbox; safety,TurboFuzzLLM Jailbreak Templates
ChatGLM 6B; Llama 2 13B Chat; Llama 2 7B; Llama 2 7B Chat; Vicuna 7B,2025-03-04T19:28:50.049Z,,69d7de3b,"JailbreakEdit is a novel attack that injects a universal jailbreak backdoor into safety-aligned Large Language Models (LLMs) by exploiting model editing techniques.  The attack modifies specific parameters within the model's feed-forward networks, creating shortcuts that bypass internal safety mechanisms and trigger jailbroken responses to a wide range of prompts, including those containing sensitive or harmful content. The attack requires only one-time parameter modification, making it efficient and stealthy.",2025-02-01,Injecting Universal Jailbreak Backdoors into LLMs in Minutes,https://arxiv.org/abs/2502.10438,universal-jailbreak-injection,model-layer; jailbreak; injection; whitebox; safety; integrity,Universal Jailbreak Injection
Llama 2 7B; Llama 3 8B,2025-12-30T20:08:56.933Z,,8779bb6f,"Standard Large Language Model (LLM) unlearning techniques, specifically Negative Preference Optimization (NPO), Gradient Difference (GradDiff), and Representation Misdirection for Unlearning (RMU), fail to sufficiently flatten the loss landscape surrounding the ""forgotten"" weights. This sharp loss landscape allows for a ""Relearning Attack,"" wherein an attacker can fully restore the unlearned capabilities (such as hazardous knowledge, sensitive data, or copyrighted material) by performing lightweight fine-tuning on the unlearned model. This restoration requires an extremely small number of samples (as few as 20 to 125) from the original forget set or even unrelated datasets, effectively negating the unlearning process.",2025-02-01,Towards llm unlearning resilient to relearning attacks: A sharpness-aware minimization perspective and beyond,https://arxiv.org/abs/2502.05374,unlearning-relearning-attack,model-layer; jailbreak; extraction; fine-tuning; whitebox; data-privacy; safety,Unlearning Relearning Attack
GPT-4o; Llama 2 7B; Llama 3.2 3B; Qwen 2.5 14B; Falcon; Gemma; Phi-3,2026-01-14T15:09:05.146Z,,a629d220,"Post-hoc Large Language Model (LLM) unlearning and guardrailing mechanisms (specifically In-Context Unlearning [ICUL] and standard prompt-based Guardrailing) are vulnerable to information leakage attacks via ""Target Masking"" and indirect referencing. These systems rely on superficial semantic matching to suppress ""forget sets"" (specific entities or concepts). Attackers can bypass these restrictions by querying associated properties, relationships, or pseudonyms rather than the explicit target name. This exploits the model's ""knowledge entanglement,"" where the target information remains embedded in the weights and is retrievable through contextual association. Furthermore, these vulnerabilities are exacerbated at scale; as the number of unlearning targets increases (tested up to 1000 targets), the efficacy of single-point guardrailing degrades, leading to high-confidence leakage of suppressed data.",2025-02-01,Alu: Agentic llm unlearning,https://arxiv.org/abs/2502.00406,unlearning-robustness-gap,application-layer; prompt-layer; jailbreak; extraction; agent; chain; blackbox; data-privacy; safety,Unlearning Robustness Gap
Llama 3 8B,2025-12-09T03:38:12.068Z,,65b330f5,"State-of-the-art machine unlearning and safety fine-tuning methods for Large Language Models (LLMs) fail to robustly remove hazardous capabilities or refusal mechanisms from model weights. While these methods suppress model outputs during standard input-output interactions, the underlying capabilities remain latent in the parameter space. An attacker with access to model weights (e.g., via open releases or leaked weights) can restore ""unlearned"" knowledge (such as dual-use biology hazards) or bypass refusal training (jailbreaking) using low-resource ""model tampering"" attacks. Specifically, few-shot fine-tuning, parameter pruning, and latent activation manipulation can recover suppressed capabilities with high efficacy, often outperforming standard input-space adversarial attacks.",2025-02-01,Model tampering attacks enable more rigorous evaluations of llm capabilities,https://arxiv.org/abs/2502.05209,weight-tampering-unlearning-bypass,model-layer; prompt-layer; jailbreak; extraction; fine-tuning; embedding; whitebox; safety,Weight Tampering Unlearning Bypass
GPT-3.5; Llama 2 7B; Llama 3.1 8B; Qwen 2.5 7B,2025-12-30T20:42:12.695Z,,cc31efe8,$4b,2025-02-01,SMAB: MAB based word Sensitivity Estimation Framework and its Applications in Adversarial Text Generation,https://arxiv.org/abs/2502.07101,word-sensitivity-attack-boost,model-layer; prompt-layer; jailbreak; blackbox; integrity; reliability; safety,Word Sensitivity Attack Boost
